,name,institute,provider,date,review,rating
297,Rails with Active Record and Action Pack,Johns Hopkins University,Coursera,"24th Aug, 2020",4 Reviews,4.0
298,Relational Database Support for Data Warehouses,University of Colorado System,Coursera,"24th Aug, 2020",1 Reviews,2.0
299,Character Design for Video Games,California Institute of the Arts,Coursera,"24th Aug, 2020",6 Reviews,4.5
301,Foundations of Objective-C App Development,"University of California, Irvine",Coursera,"24th Aug, 2020",4 Reviews,3.8
302,App Design and Development for iOS,University of Toronto,Coursera,"24th Aug, 2020",2 Reviews,3.0
303,Single Page Web Applications with AngularJS,Johns Hopkins University,Coursera,"24th Aug, 2020",4 Reviews,5.0
305,Web Application Development with JavaScript and MongoDB,University of London International Programmes,Coursera,"24th Aug, 2020",6 Reviews,4.3
306,Java Programming: Principles of Software Design,Duke University,Coursera,"24th Aug, 2020",4 Reviews,4.8
307,Game Development for Modern Platforms,Michigan State University,Coursera,"24th Aug, 2020",4 Reviews,4.8
309,Managing an Agile Team,University of Virginia,Coursera,"24th Aug, 2020",1 Reviews,2.0
310,Web Application Development: Basic Concepts,University of New Mexico,Coursera,"24th Aug, 2020",1 Reviews,4.0
311,Agile Meets Design Thinking,University of Virginia,Coursera,"24th Aug, 2020",1 Reviews,5.0
320,Parallel programming,École Polytechnique Fédérale de Lausanne,Coursera,"24th Aug, 2020",6 Reviews,3.7
324,How To Create a Website in a Weekend! (Project-Centered Course),State University of New York,Coursera,"24th Aug, 2020",6 Reviews,4.0
325,Build Your First Android App (Project-Centered Course),École Centrale Paris,Coursera,"24th Aug, 2020",4 Reviews,3.8
331,Agile Software Development,University of Minnesota,Coursera,"24th Aug, 2020",1 Reviews,4.0
332,Software Development Processes and Methodologies,University of Minnesota,Coursera,"24th Aug, 2020",1 Reviews,3.0
335,Building Web Applications in PHP,University of Michigan,Coursera,"24th Aug, 2020",1 Reviews,5.0
343,Introduction to Structured Query Language (SQL),University of Michigan,Coursera,"24th Aug, 2020",1 Reviews,5.0
346,Building Database Applications in PHP,University of Michigan,Coursera,"24th Aug, 2020",1 Reviews,5.0
363,Competitive Programmer's Core Skills,Saint Petersburg State University,Coursera,"24th Aug, 2020",2 Reviews,4.5
369,Introduction to Virtual Reality,University of London International Programmes,Coursera,"24th Aug, 2020",1 Reviews,5.0
370,3D Models for Virtual Reality,University of London International Programmes,Coursera,"24th Aug, 2020",1 Reviews,5.0
391,Practical SAS Programming and Certification Review,SAS,Coursera,"24th Aug, 2020",1 Reviews,3.0
401,Getting Started with Go,"University of California, Irvine",Coursera,"24th Aug, 2020",4 Reviews,3.3
402,Concurrency in Go,"University of California, Irvine",Coursera,"24th Aug, 2020",1 Reviews,3.0
403,"Functions, Methods, and Interfaces in Go","University of California, Irvine",Coursera,"24th Aug, 2020",3 Reviews,2.7
410,Getting Started with SAS Programming,SAS,Coursera,"24th Aug, 2020",1 Reviews,5.0
411,IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies,Yonsei University,Coursera,"24th Aug, 2020",2 Reviews,4.5
419,Getting Started with AWS Machine Learning,Amazon Web Services,Coursera,"24th Aug, 2020",7 Reviews,3.7
470,HTML5 Apps and Games,World Wide Web Consortium (W3C),edX,"25th Aug, 2020",1 Reviews,3.0
480,Introduction to Java Programming: Starting to code in Java,Universidad Carlos iii de Madrid,edX,"31st Aug, 2020",6 Reviews,4.2
481,¡A Programar! Una introducción a la programación,University of Edinburgh,Coursera,"31st Aug, 2020",1 Reviews,5.0
488,Programando con Java para aplicaciones Android,Universidad Nacional Autónoma de México,Coursera,"31st Aug, 2020",2 Reviews,5.0
497,"Problem Solving, Python Programming, and Video Games",University of Alberta,Coursera,"31st Aug, 2020",2 Reviews,4.5
502,Object-Oriented Programming with Java,Coursera Project Network,Coursera,"31st Aug, 2020",1 Reviews,3.0
512,Build Your Portfolio Website with HTML and CSS,Coursera Project Network,Coursera,"31st Aug, 2020",1 Reviews,2.0
513,Practical Introduction to the Command Line,Coursera Project Network,Coursera,"31st Aug, 2020",1 Reviews,4.0
563,Lernen objekt-orientierter Programmierung,Technische Universität München (Technical University of Munich),edX,"4th Sep, 2020",1 Reviews,5.0
568,Software Product Management Capstone,University of Alberta,Coursera,"7th Sep, 2020",1 Reviews,5.0
569,用Python玩转数据 Data Processing Using Python,Nanjing University,Coursera,"7th Sep, 2020",1 Reviews,5.0
570,Client Needs and Software Requirements,University of Alberta,Coursera,"7th Sep, 2020",6 Reviews,4.5
575,Best Practices for iOS User Interface Design,"University of California, Irvine",Coursera,"7th Sep, 2020",1 Reviews,5.0
576,Agile Planning for Software Products,University of Alberta,Coursera,"7th Sep, 2020",1 Reviews,3.0
592,Optimizing Your Google Cloud Platform (GCP) Costs,Google Cloud,Coursera,"7th Sep, 2020",1 Reviews,5.0
