,name,institute,provider,date,review,rating
85,機器學習技法 (Machine Learning Techniques),National Taiwan University,Coursera,"24th Aug, 2020",1 Reviews,5.0
88,Обучение на размеченных данных,Moscow Institute of Physics and Technology,Coursera,"24th Aug, 2020",2 Reviews,5.0
89,Natural Language Processing,Higher School of Economics,Coursera,"24th Aug, 2020",2 Reviews,5.0
91,Introduction to Deep Learning,Higher School of Economics,Coursera,"24th Aug, 2020",3 Reviews,2.7
93,Deep Learning in Computer Vision,Higher School of Economics,Coursera,"24th Aug, 2020",3 Reviews,2.3
94,Probabilistic Graphical Models 2: Inference,Stanford University,Coursera,"24th Aug, 2020",3 Reviews,4.3
97,Applied Text Mining in Python,University of Michigan,Coursera,"24th Aug, 2020",2 Reviews,2.0
98,Applied Machine Learning in Python,University of Michigan,Coursera,"24th Aug, 2020",6 Reviews,4.0
99,Structuring Machine Learning Projects,deeplearning.ai,Coursera,"24th Aug, 2020",3 Reviews,5.0
100,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,Coursera,"24th Aug, 2020",3 Reviews,5.0
101,Sequence Models,deeplearning.ai,Coursera,"24th Aug, 2020",4 Reviews,4.8
111,Introduction to Artificial Intelligence (AI),IBM,Coursera,"24th Aug, 2020",1 Reviews,5.0
113,AWS Computer Vision: Getting Started with GluonCV,Amazon Web Services,Coursera,"24th Aug, 2020",1 Reviews,5.0
120,Getting Started with AWS Machine Learning,Amazon Web Services,Coursera,"24th Aug, 2020",7 Reviews,3.7
121,Python for Data Science and AI,IBM,Coursera,"24th Aug, 2020",2 Reviews,2.5
137,Machine Learning Fundamentals,"University of California, San Diego",edX,"25th Aug, 2020",3 Reviews,4.3
